folder,intent,baseline_probes,extra_probes,expected_signatures
case1,"path-init and walk fundamentals","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","path_init;link_path_walk;open_last_lookups;do_open;lookup_open","relative/open success;ENOENT on miss"
case2_deep_miss,"dcache miss path","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","d_lookup;__d_lookup;d_alloc_parallel;__d_alloc;lookup_open","d_lookup miss;__d_alloc hit;ENOENT"
case3_deep_hit,"dcache hit path","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","d_lookup;__d_lookup;d_revalidate;lookup_open","d_lookup hit;fewer allocations"
case4_create_flow,"create-if-missing","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","lookup_open;atomic_open;vfs_create;may_open","FMODE_CREATED path;create success/permission error"
case5_mount_jump,"mount traversal","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","follow_managed;handle_mounts;path_lookupat;link_path_walk","mount crossing observed"
case6_symlink_loop,"symlink loop error","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","pick_link;trailing_symlink;link_path_walk","ELOOP"
case7_symlink_fast,"symlink resolved quickly","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","pick_link;step_into;link_path_walk","symlink resolution success"
case8_creation_proof,"creation and dcache proof","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","__d_alloc;d_alloc_parallel;d_lookup_done;lookup_open","allocation then lookup-done sequence"
case10_rename_investigation,"single rename internals","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","do_renameat2;vfs_rename;lock_rename","rename success/failure"
case11_bulk_rename,"bulk rename churn","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","do_renameat2;vfs_rename;d_move;d_exchange","many rename calls"
case12_harder_puzzle,"complex open puzzle","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","path_init;link_path_walk;open_last_lookups;lookup_open","branch-specific open path"
case13_salt_avalanche,"name hash behavior","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","full_name_hash;d_lookup;d_alloc_parallel","hash values shift by input"
case14_symmetry_break,"collision/symmetry break","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","d_lookup;d_alloc_parallel;lookup_open;atomic_open","different branch for close names"
case15_deep_trace,"deep path traversal","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","path_init;link_path_walk;open_last_lookups;do_open;lookup_open","deep walk timing"
case16_do_filp_open_trace,"do_filp_open focus","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","alloc_empty_file;path_openat;do_open;fput_close;do_filp_open","ERR_PTR on fail;fput_close on error"
case16_do_sys_openat2_trace,"syscall front-door focus","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","build_open_flags;getname;get_unused_fd_flags;do_filp_open;fd_install;putname","fd install only on success"
case17_do_filp_open_deep_trace,"missing-file dentry proof","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","do_filp_open;lookup_open;atomic_open;d_alloc_parallel;__d_alloc;fput_close","__d_alloc hit + do_filp_open ERR_PTR(-ENOENT)"
multi_path_open,"mixed path patterns","do_sys_openat2;do_filp_open;path_openat;lookup_open;__d_alloc","path_init;link_path_walk;open_last_lookups;do_open","different path classes captured"
