userspace,filp_entry,filp_ret,dalloc_entry,dalloc_ret,enoent_ptr,nonerr_ptr,status
kernel/user/stage3/case1/case1_relative/case1_relative.c,9,9,0,0,6,3,pass_probe_hits
kernel/user/stage3/case1/case6_symlink_loop.c,9,9,0,0,7,2,pass_probe_hits
kernel/user/stage3/case1/case7_symlink_fast.c,9,9,0,0,7,2,pass_probe_hits
kernel/user/stage3/case1/dcache_loop_analysis.c,8,8,0,0,6,2,pass_probe_hits
kernel/user/stage3/case1/demo_at_fdcwd/demo_at_fdcwd.c,11,11,0,0,6,5,pass_probe_hits
kernel/user/stage3/case1/demo_dup_names.c,10,10,0,0,6,4,pass_probe_hits
kernel/user/stage3/case1/demo_o_path/demo_o_path.c,10,10,0,0,6,4,pass_probe_hits
kernel/user/stage3/case1/demo_o_path/demo_o_path_dir.c,11,11,1,1,6,5,pass_probe_hits
kernel/user/stage3/case1/demo_o_tmpfile/demo_o_tmpfile.c,11,11,1,1,6,5,pass_probe_hits
kernel/user/stage3/case1/demo_thread_safety/demo_thread_safety.c,13,13,5,5,6,7,pass_probe_hits
kernel/user/stage3/case1/demo_toctou/demo_toctou.c,21,21,12,12,6,15,pass_probe_hits
kernel/user/stage3/case1/manual_dentry_check.c,8,8,0,0,6,2,pass_probe_hits
kernel/user/stage3/case1/test_vfs_trace.c,12,12,0,0,8,4,pass_probe_hits
kernel/user/stage3/case1/vfs_trigger.c,10,10,0,0,6,4,pass_probe_hits
kernel/user/stage3/case10_rename_investigation/user_dir_rename.c,8,8,0,0,6,2,pass_probe_hits
kernel/user/stage3/case11_bulk_rename/user_bulk_rename.c,110,110,100,100,6,104,pass_probe_hits
kernel/user/stage3/case12_harder_puzzle/puzzle_verify.c,8,8,0,0,6,2,pass_probe_hits
kernel/user/stage3/case12_harder_puzzle/user_puzzle.c,11,11,0,0,6,5,pass_probe_hits
kernel/user/stage3/case13_salt_avalanche/user_salt_avalanche.c,10,10,0,0,6,4,pass_probe_hits
kernel/user/stage3/case14_symmetry_break/user_symmetry_break.c,10,10,0,0,6,4,pass_probe_hits
kernel/user/stage3/case15_deep_trace/user_deep_create.c,9,9,0,0,6,3,pass_probe_hits
kernel/user/stage3/case15_deep_trace/user_deep_open.c,9,9,0,0,6,3,pass_probe_hits
kernel/user/stage3/case16_do_filp_open_trace/user_trigger_exists.c,10,10,0,0,6,4,pass_probe_hits
kernel/user/stage3/case16_do_filp_open_trace/user_trigger_missing.c,9,9,0,0,7,2,pass_probe_hits
kernel/user/stage3/case16_do_sys_openat2_trace/user_trigger.c,9,9,0,0,7,2,pass_probe_hits
kernel/user/stage3/case17_do_filp_open_deep_trace/user_trigger.c,9,9,1,1,7,2,pass_probe_hits
kernel/user/stage3/case17_do_filp_open_deep_trace/user_trigger_raw_openat.S,1,1,0,0,1,0,pass_probe_hits
kernel/user/stage3/case2_deep_miss/case2_deep_miss.c,9,9,1,1,7,2,pass_probe_hits
kernel/user/stage3/case3_deep_hit/case3_deep_hit.c,10,10,1,1,8,2,pass_probe_hits
kernel/user/stage3/case4_create_flow/case4_create_flow.c,10,10,0,0,6,4,pass_probe_hits
kernel/user/stage3/case5_mount_jump/case5_mount_jump.c,9,9,0,0,7,2,pass_probe_hits
kernel/user/stage3/case6_symlink_loop/case6_symlink_loop.c,9,9,0,0,7,2,pass_probe_hits
kernel/user/stage3/case7_symlink_fast/case7_symlink_fast.c,9,9,0,0,7,2,pass_probe_hits
kernel/user/stage3/case8_creation_proof/derive_hash.c,8,8,0,0,6,2,pass_probe_hits
kernel/user/stage3/case8_creation_proof/user_create_deep.c,9,9,0,0,6,3,pass_probe_hits
kernel/user/stage3/case8_creation_proof/user_create_long.c,9,9,0,0,6,3,pass_probe_hits
kernel/user/stage3/case8_creation_proof/user_create_simple.c,9,9,1,1,6,3,pass_probe_hits
kernel/user/stage3/case8_creation_proof/user_hash_collision.c,11,11,0,0,6,5,pass_probe_hits
kernel/user/stage3/case8_creation_proof/user_open_existing.c,9,9,0,0,7,2,pass_probe_hits
kernel/user/stage3/case8_creation_proof/user_rename.c,9,9,1,1,6,3,pass_probe_hits
kernel/user/stage3/multi_path_open.c,9,9,0,0,6,3,pass_probe_hits
